43,62,13,Citizen630,-10.0,love, sadness, fear
774,59,34,Citizen740,10.0,hope, kindness, joy
774,59,34,Citizen865,-10.0,hope, kindness, joy
774,59,34,Citizen378,10.0,hope, kindness, joy
774,59,34,Citizen832,10.0,hope, kindness, joy
774,59,34,Citizen161,10.0,hope, kindness, joy
774,59,34,Citizen111,30.0,hope, kindness, joy
774,59,34,Citizen942,30.0,hope, kindness, joy
774,59,34,Citizen254,30.0,hope, kindness, joy
774,59,34,Citizen619,30.0,hope, kindness, joy
774,59,34,Citizen815,30.0,hope, kindness, joy
625,42,11,Citizen266,10.0,stress, stress, conflict
625,42,11,Citizen198,30.0,stress, stress, conflict
625,42,11,Citizen712,30.0,stress, stress, conflict
625,42,11,Citizen763,-10.0,stress, stress, conflict
625,42,11,Citizen489,10.0,stress, stress, conflict
625,42,11,Citizen675,30.0,stress, stress, conflict
625,42,11,Citizen471,10.0,stress, stress, conflict
625,42,11,Citizen12,10.0,stress, stress, conflict
625,42,11,Citizen960,30.0,stress, stress, conflict
625,42,11,Citizen431,30.0,stress, stress, conflict
Some(2023-06-28 23:36:56),67,64,85,Citizen113,10.0,gratitude, anger, anarchy
Some(2023-06-28 23:36:56),67,64,85,Citizen467,10.0,gratitude, anger, anarchy
Some(2023-06-28 23:36:56),67,64,85,Citizen556,10.0,gratitude, anger, anarchy
Some(2023-06-28 23:36:56),67,64,85,Citizen548,30.0,gratitude, anger, anarchy
Some(2023-06-28 23:36:56),67,64,85,Citizen836,30.0,gratitude, anger, anarchy
Some(2023-06-28 23:36:56),67,64,85,Citizen409,-10.0,gratitude, anger, anarchy
Some(2023-06-28 23:36:56),67,64,85,Citizen54,30.0,gratitude, anger, anarchy
Some(2023-06-28 23:36:56),67,64,85,Citizen672,10.0,gratitude, anger, anarchy
Some(2023-06-28 23:36:56),67,64,85,Citizen816,-10.0,gratitude, anger, anarchy
Some(2023-06-28 23:36:56),67,64,85,Citizen535,30.0,gratitude, anger, anarchy
Some(2023-06-28 23:36:56),67,64,85,Citizen521,-10.0,gratitude, anger, anarchy
282,39,7,Citizen707,-10.0,kindness, sadness, envy
282,39,7,Citizen978,-30.0,shame, sadness, sadness
282,39,7,Citizen40,10.0,conflict, happiness, kindness
282,39,7,Citizen773,-10.0,shame, shame, peace
282,39,7,Citizen177,-30.0,sadness, fear, fear
282,39,7,Citizen812,10.0,peace, sadness, serenity
282,39,7,Citizen859,10.0,fear, happiness, peace
282,39,7,Citizen243,10.0,peace, stress, gratitude
282,39,7,Citizen773,-10.0,joy, shame, guilt
282,39,7,Citizen514,10.0,joy, happiness, anger
282,39,7,Citizen838,-10.0,sadness, sadness, love
393,55,58,Citizen142,10.0,conflict, disgust, peace
393,55,58,Citizen499,30.0,conflict, disgust, peace
393,55,58,Citizen903,10.0,conflict, disgust, peace
393,55,58,Citizen1,30.0,conflict, disgust, peace
393,55,58,Citizen974,-10.0,conflict, disgust, peace
393,55,58,Citizen682,10.0,conflict, disgust, peace
393,55,58,Citizen900,10.0,conflict, disgust, peace
393,55,58,Citizen320,10.0,conflict, disgust, peace
393,55,58,Citizen67,30.0,conflict, disgust, peace
393,55,58,Citizen943,30.0,conflict, disgust, peace
393,55,58,Citizen393,-10.0,conflict, disgust, peace
393,55,58,Citizen846,10.0,conflict, disgust, peace
899,32,53,Citizen19,-10.0,guilt, disgust, hope
899,32,53,Citizen473,-10.0,frustration, serenity, envy
899,32,53,Citizen220,10.0,happiness, love, envy
899,32,53,Citizen505,10.0,kindness, frustration, love
899,32,53,Citizen375,30.0,hope, love, joy
899,32,53,Citizen8,10.0,love, hope, conflict
899,32,53,Citizen398,-10.0,harmony, disgust, stress
899,32,53,Citizen275,10.0,kindness, anger, harmony
899,32,53,Citizen697,-10.0,contentment, envy, guilt
36,73,56,Citizen835,-10.0,anger, shame, contentment
36,73,56,Citizen681,10.0,hope, shame, gratitude
36,73,56,Citizen644,10.0,hope, conflict, contentment
36,73,56,Citizen601,10.0,guilt, gratitude, gratitude
36,73,56,Citizen485,-10.0,gratitude, stress, envy
36,73,56,Citizen445,10.0,love, kindness, shame
36,73,56,Citizen578,10.0,sadness, love, happiness
36,73,56,Citizen835,10.0,contentment, sadness, harmony
36,73,56,Citizen71,-10.0,fear, happiness, sadness
36,73,56,Citizen681,-30.0,disgust, shame, disgust
36,73,56,Citizen175,-10.0,fear, guilt, serenity
36,73,56,Citizen990,10.0,happiness, love, envy
36,73,56,Citizen537,-30.0,shame, conflict, frustration
616,104,92,No citizen detected.
43,60,10,Citizen494,-10.0,kindness, shame, disgust
43,60,10,Citizen817,10.0,harmony, anger, kindness
43,60,10,Citizen760,-10.0,conflict, love, anger
43,60,10,Citizen777,-30.0,fear, stress, shame
43,60,10,Citizen858,-10.0,anger, peace, disgust
43,60,10,Citizen723,-10.0,serenity, stress, fear
43,60,10,Citizen325,10.0,gratitude, peace, anger
43,60,10,Citizen674,10.0,peace, serenity, anger
43,60,10,Citizen545,-10.0,harmony, fear, guilt
43,60,10,Citizen159,-10.0,hope, anger, frustration
43,60,10,Citizen866,10.0,joy, serenity, shame
43,60,10,Citizen872,-10.0,guilt, stress, happiness
43,60,10,Citizen466,10.0,guilt, serenity, love
43,60,10,Citizen303,10.0,guilt, peace, gratitude
708,49,56,Citizen22,10.0,happiness, democracy, frustration
708,49,56,Citizen855,10.0,happiness, democracy, frustration
708,49,56,Citizen623,-30.0,happiness, democracy, frustration
708,49,56,Citizen943,-10.0,happiness, democracy, frustration
708,49,56,Citizen350,30.0,happiness, democracy, frustration
708,49,56,Citizen777,10.0,happiness, democracy, frustration
708,49,56,Citizen831,30.0,happiness, democracy, frustration
708,49,56,Citizen657,10.0,happiness, democracy, frustration
Some(2023-06-28 23:29:55),2,71,33,Citizen365,30.0,harmony, contentment, love
Some(2023-06-28 23:29:55),2,71,33,Citizen647,30.0,harmony, contentment, love
Some(2023-06-28 23:29:55),2,71,33,Citizen812,10.0,harmony, contentment, love
Some(2023-06-28 23:29:55),2,71,33,Citizen968,-10.0,harmony, contentment, love
Some(2023-06-28 23:29:55),2,71,33,Citizen271,10.0,harmony, contentment, love
Some(2023-06-28 23:29:55),2,71,33,Citizen211,30.0,harmony, contentment, love
Some(2023-06-28 23:29:55),2,71,33,Citizen105,10.0,harmony, contentment, love
Some(2023-06-28 23:29:55),2,71,33,Citizen521,10.0,harmony, contentment, love
735,97,88,Citizen362,30.0,contentment, contentment, happiness
735,97,88,Citizen965,30.0,contentment, contentment, happiness
735,97,88,Citizen435,10.0,contentment, contentment, happiness
735,97,88,Citizen421,30.0,contentment, contentment, happiness
735,97,88,Citizen715,30.0,contentment, contentment, happiness
735,97,88,Citizen916,10.0,contentment, contentment, happiness
735,97,88,Citizen879,10.0,contentment, contentment, happiness
735,97,88,Citizen518,30.0,contentment, contentment, happiness
2,72,31,Citizen718,30.0,freedom, frustration, happiness
2,72,31,Citizen619,30.0,freedom, frustration, happiness
2,72,31,Citizen365,30.0,freedom, frustration, happiness
2,72,31,Citizen647,30.0,freedom, frustration, happiness
2,72,31,Citizen968,-10.0,freedom, frustration, happiness
2,72,31,Citizen271,10.0,freedom, frustration, happiness
2,72,31,Citizen211,30.0,freedom, frustration, happiness
2,72,31,Citizen105,10.0,freedom, frustration, happiness
2,72,31,Citizen26,10.0,freedom, frustration, happiness
262,4,28,Citizen608,-30.0,envy, sadness, shame
262,4,28,Citizen182,10.0,hope, joy, disgust
262,4,28,Citizen238,10.0,contentment, stress, love
262,4,28,Citizen487,-10.0,peace, anger, anger
262,4,28,Citizen506,-10.0,sadness, shame, happiness
262,4,28,Citizen759,30.0,peace, kindness, harmony
262,5,30,Citizen0,-10.0,sadness, frustration, love
262,5,30,Citizen608,-30.0,envy, sadness, shame
262,5,30,Citizen277,-10.0,frustration, frustration, happiness
262,5,30,Citizen903,10.0,envy, peace, contentment
262,5,30,Citizen182,10.0,hope, joy, disgust
262,5,30,Citizen238,10.0,contentment, stress, love
262,5,30,Citizen487,-10.0,peace, anger, anger
262,5,30,Citizen539,10.0,happiness, serenity, stress
262,5,30,Citizen100,-10.0,guilt, fear, happiness
262,5,30,Citizen506,-10.0,sadness, shame, happiness
262,5,30,Citizen759,30.0,peace, kindness, harmony
14,65,74,Citizen831,-10.0,democracy, serenity, conflict
14,65,74,Citizen240,30.0,democracy, serenity, conflict
14,65,74,Citizen919,10.0,democracy, serenity, conflict
14,65,74,Citizen186,10.0,democracy, serenity, conflict
14,65,74,Citizen570,-10.0,democracy, serenity, conflict
14,65,74,Citizen211,-10.0,democracy, serenity, conflict
14,65,74,Citizen351,-10.0,democracy, serenity, conflict
14,65,74,Citizen503,10.0,democracy, serenity, conflict
43,66,11,Citizen199,-10.0,serenity, sadness, disgust
43,66,11,Citizen520,10.0,harmony, serenity, conflict
43,66,11,Citizen630,-10.0,love, sadness, fear
43,66,11,Citizen817,30.0,happiness, harmony, happiness
43,66,11,Citizen494,-10.0,kindness, shame, disgust
43,66,11,Citizen817,10.0,harmony, anger, kindness
43,66,11,Citizen760,-10.0,conflict, love, anger
824,7,91,Citizen823,-10.0,guilt, happiness, conflict
824,7,91,Citizen44,30.0,love, love, love
824,7,91,Citizen986,10.0,serenity, gratitude, stress
824,7,91,Citizen404,-10.0,kindness, envy, anger
824,7,91,Citizen544,-10.0,peace, sadness, frustration
824,7,91,Citizen277,-10.0,disgust, guilt, gratitude
824,7,91,Citizen972,10.0,gratitude, joy, shame
976,25,24,Citizen403,-10.0,shame, harmony, fear
976,25,24,Citizen8,10.0,frustration, contentment, joy
976,25,24,Citizen492,10.0,guilt, happiness, love
976,25,24,Citizen804,30.0,joy, joy, joy
976,25,24,Citizen973,30.0,love, harmony, gratitude
976,25,24,Citizen968,-10.0,disgust, hope, fear
976,25,24,Citizen557,-10.0,joy, disgust, fear
976,25,24,Citizen153,10.0,happiness, joy, anger
976,25,24,Citizen694,10.0,love, fear, gratitude
976,25,24,Citizen838,-10.0,guilt, envy, love
976,25,24,Citizen224,-10.0,peace, shame, stress
976,25,24,Citizen53,-10.0,love, stress, shame
976,25,24,Citizen645,10.0,serenity, shame, peace
976,25,24,Citizen409,-10.0,kindness, shame, stress
976,25,24,Citizen632,-10.0,guilt, anger, peace
976,25,24,Citizen510,10.0,serenity, joy, fear
Some(2023-06-28 23:36:56),607,91,82,Citizen789,-10.0,hope, sadness, love
Some(2023-06-28 23:36:56),607,91,82,Citizen745,30.0,hope, sadness, love
Some(2023-06-28 23:36:56),607,91,82,Citizen948,30.0,hope, sadness, love
Some(2023-06-28 23:36:56),607,91,82,Citizen135,30.0,hope, sadness, love
Some(2023-06-28 23:36:56),607,91,82,Citizen641,10.0,hope, sadness, love
Some(2023-06-28 23:36:56),607,91,82,Citizen318,30.0,hope, sadness, love
Some(2023-06-28 23:36:56),607,91,82,Citizen233,-10.0,hope, sadness, love
Some(2023-06-28 23:36:56),607,91,82,Citizen544,-30.0,hope, sadness, love
Some(2023-06-28 23:36:56),607,91,82,Citizen949,30.0,hope, sadness, love
683,81,69,Citizen516,10.0,peace, serenity, envy
683,81,69,Citizen334,-10.0,frustration, envy, contentment
683,81,69,Citizen503,10.0,harmony, kindness, frustration
683,81,69,Citizen437,-30.0,conflict, sadness, conflict
683,81,69,Citizen43,-30.0,conflict, disgust, conflict
683,81,69,Citizen658,-10.0,stress, guilt, peace
683,81,69,Citizen601,-10.0,guilt, gratitude, conflict
683,81,69,Citizen469,-10.0,stress, happiness, guilt
683,81,69,Citizen825,-10.0,sadness, kindness, shame
683,81,69,Citizen306,30.0,kindness, gratitude, joy
683,81,69,Citizen16,10.0,hope, contentment, fear
683,81,69,Citizen650,-10.0,anger, love, conflict
683,81,69,Citizen402,-10.0,guilt, frustration, love
683,81,69,Citizen609,10.0,sadness, happiness, kindness
683,81,69,Citizen715,-10.0,gratitude, fear, frustration
683,81,69,Citizen535,30.0,contentment, contentment, gratitude
899,33,54,Citizen427,10.0,guilt, happiness, hope
899,33,54,Citizen19,-10.0,guilt, disgust, hope
899,33,54,Citizen473,-10.0,frustration, serenity, envy
899,33,54,Citizen220,10.0,happiness, love, envy
899,33,54,Citizen505,10.0,kindness, frustration, love
899,33,54,Citizen557,10.0,serenity, hope, frustration
899,33,54,Citizen375,30.0,hope, love, joy
899,33,54,Citizen8,10.0,love, hope, conflict
899,33,54,Citizen882,10.0,frustration, hope, serenity
899,33,54,Citizen275,10.0,kindness, anger, harmony
976,24,26,Citizen403,-10.0,shame, harmony, fear
976,24,26,Citizen492,10.0,guilt, happiness, love
976,24,26,Citizen804,30.0,joy, joy, joy
976,24,26,Citizen973,30.0,love, harmony, gratitude
976,24,26,Citizen557,-10.0,joy, disgust, fear
976,24,26,Citizen694,10.0,love, fear, gratitude
976,24,26,Citizen838,-10.0,guilt, envy, love
976,24,26,Citizen224,-10.0,peace, shame, stress
976,24,26,Citizen53,-10.0,love, stress, shame
976,24,26,Citizen645,10.0,serenity, shame, peace
976,24,26,Citizen632,-10.0,guilt, anger, peace
976,24,26,Citizen510,10.0,serenity, joy, fear
976,24,26,Citizen430,-10.0,conflict, contentment, anger
865,89,12,Citizen656,10.0,conflict, harmony, serenity
865,89,12,Citizen807,30.0,happiness, peace, serenity
865,89,12,Citizen532,30.0,kindness, gratitude, contentment
865,89,12,Citizen752,10.0,peace, stress, contentment
865,89,12,Citizen146,-10.0,frustration, peace, conflict
865,89,12,Citizen324,-30.0,shame, disgust, shame
865,89,12,Citizen997,30.0,serenity, serenity, love
865,89,12,Citizen970,-10.0,shame, kindness, guilt
262,7,34,Citizen11,-10.0,frustration, envy, harmony
262,7,34,Citizen608,-30.0,envy, sadness, shame
262,7,34,Citizen277,-10.0,frustration, frustration, happiness
262,7,34,Citizen24,-10.0,happiness, disgust, anger
262,7,34,Citizen742,10.0,stress, hope, joy
262,7,34,Citizen903,10.0,envy, peace, contentment
262,7,34,Citizen182,10.0,hope, joy, disgust
262,7,34,Citizen238,10.0,contentment, stress, love
262,7,34,Citizen906,30.0,gratitude, serenity, love
262,7,34,Citizen539,10.0,happiness, serenity, stress
262,7,34,Citizen100,-10.0,guilt, fear, happiness
Some(2023-06-29 12:20:04),14,65,74,Citizen831,-10.0,democracy, serenity, conflict
Some(2023-06-29 12:20:04),14,65,74,Citizen240,30.0,democracy, serenity, conflict
Some(2023-06-29 12:20:04),14,65,74,Citizen919,10.0,democracy, serenity, conflict
Some(2023-06-29 12:20:04),14,65,74,Citizen186,10.0,democracy, serenity, conflict
Some(2023-06-29 12:20:04),14,65,74,Citizen570,-10.0,democracy, serenity, conflict
Some(2023-06-29 12:20:04),14,65,74,Citizen211,-10.0,democracy, serenity, conflict
Some(2023-06-29 12:20:04),14,65,74,Citizen351,-10.0,democracy, serenity, conflict
Some(2023-06-29 12:20:04),14,65,74,Citizen503,10.0,democracy, serenity, conflict
526,72,37,Citizen608,-30.0,frustration, anger, anger
526,72,37,Citizen253,10.0,joy, guilt, love
526,72,37,Citizen583,30.0,gratitude, hope, gratitude
526,72,37,Citizen592,30.0,contentment, peace, love
526,72,37,Citizen542,30.0,hope, happiness, serenity
262,3,25,Citizen748,-10.0,guilt, hope, disgust
262,3,25,Citizen182,10.0,hope, joy, disgust
262,3,25,Citizen716,10.0,kindness, happiness, stress
262,3,25,Citizen487,-10.0,peace, anger, anger
262,3,25,Citizen240,-30.0,conflict, frustration, disgust
262,3,25,Citizen506,-10.0,sadness, shame, happiness
262,3,25,Citizen759,30.0,peace, kindness, harmony
526,70,40,Citizen253,10.0,joy, guilt, love
526,70,40,Citizen188,10.0,love, hope, shame
526,70,40,Citizen583,30.0,gratitude, hope, gratitude
526,70,40,Citizen592,30.0,contentment, peace, love
526,70,40,Citizen914,-30.0,stress, anger, fear
526,70,40,Citizen542,30.0,hope, happiness, serenity
526,70,40,Citizen725,10.0,contentment, love, sadness
526,70,40,Citizen37,10.0,frustration, hope, gratitude
526,70,40,Citizen446,10.0,joy, happiness, disgust
526,70,40,Citizen269,-10.0,guilt, serenity, sadness
526,70,40,Citizen383,10.0,peace, fear, love
Some(2023-06-28 23:39:56),965,60,59,Citizen620,30.0,anger, contentment, anarchy
Some(2023-06-28 23:39:56),965,60,59,Citizen625,-10.0,anger, contentment, anarchy
Some(2023-06-28 23:39:56),965,60,59,Citizen730,10.0,anger, contentment, anarchy
Some(2023-06-28 23:39:56),965,60,59,Citizen528,30.0,anger, contentment, anarchy
Some(2023-06-28 23:39:56),965,60,59,Citizen800,30.0,anger, contentment, anarchy
Some(2023-06-28 23:39:56),965,60,59,Citizen80,30.0,anger, contentment, anarchy
Some(2023-06-28 23:39:56),965,60,59,Citizen914,30.0,anger, contentment, anarchy
Some(2023-06-28 23:39:56),965,60,59,Citizen175,10.0,anger, contentment, anarchy
Some(2023-06-28 23:39:56),965,60,59,Citizen987,30.0,anger, contentment, anarchy
Some(2023-06-28 23:39:56),965,60,59,Citizen525,10.0,anger, contentment, anarchy
Some(2023-06-28 23:39:56),965,60,59,Citizen68,10.0,anger, contentment, anarchy
Some(2023-06-28 23:39:56),965,60,59,Citizen94,-30.0,anger, contentment, anarchy
Some(2023-06-28 23:39:56),965,60,59,Citizen628,10.0,anger, contentment, anarchy
Some(2023-06-28 23:39:56),965,60,59,Citizen121,30.0,anger, contentment, anarchy
Some(2023-06-28 23:39:56),965,60,59,Citizen290,30.0,anger, contentment, anarchy
Some(2023-06-28 23:39:56),965,60,59,Citizen287,30.0,anger, contentment, anarchy
Some(2023-06-28 23:39:56),965,60,59,Citizen809,10.0,anger, contentment, anarchy
420,90,9,Citizen954,-30.0,anger, anger, sadness
420,90,9,Citizen369,-10.0,hope, conflict, guilt
420,90,9,Citizen205,10.0,serenity, gratitude, guilt
420,90,9,Citizen842,10.0,kindness, gratitude, shame
420,90,9,Citizen689,-10.0,kindness, conflict, shame
420,90,9,Citizen345,10.0,peace, envy, hope
420,90,9,Citizen650,10.0,happiness, joy, anger
420,90,9,Citizen78,-10.0,guilt, serenity, anger
420,90,9,Citizen779,30.0,happiness, serenity, serenity
420,90,9,Citizen630,-10.0,joy, guilt, sadness
420,90,9,Citizen314,30.0,serenity, kindness, harmony
420,90,9,Citizen569,10.0,harmony, envy, peace
420,90,9,Citizen104,10.0,happiness, contentment, stress
43,64,12,Citizen520,10.0,harmony, serenity, conflict
43,64,12,Citizen630,-10.0,love, sadness, fear
43,64,12,Citizen494,-10.0,kindness, shame, disgust
43,64,12,Citizen760,-10.0,conflict, love, anger
43,64,12,Citizen777,-30.0,fear, stress, shame
43,64,12,Citizen858,-10.0,anger, peace, disgust
43,64,12,Citizen723,-10.0,serenity, stress, fear
43,64,12,Citizen325,10.0,gratitude, peace, anger
43,64,12,Citizen674,10.0,peace, serenity, anger
842,4,43,Citizen22,-10.0,fear, conflict, anarchy
842,4,43,Citizen186,30.0,fear, conflict, anarchy
842,4,43,Citizen772,10.0,fear, conflict, anarchy
842,4,43,Citizen206,-10.0,fear, conflict, anarchy
842,4,43,Citizen833,10.0,fear, conflict, anarchy
842,4,43,Citizen523,10.0,fear, conflict, anarchy
842,4,43,Citizen160,-10.0,fear, conflict, anarchy
842,4,43,Citizen343,-10.0,fear, conflict, anarchy
842,4,43,Citizen575,30.0,fear, conflict, anarchy
842,4,43,Citizen404,30.0,fear, conflict, anarchy
812,54,27,Citizen534,-10.0,stress, guilt, contentment
812,54,27,Citizen978,-30.0,sadness, anger, fear
812,54,27,Citizen658,10.0,happiness, joy, disgust
812,54,27,Citizen206,30.0,gratitude, happiness, love
812,54,27,Citizen582,-10.0,frustration, serenity, frustration
812,54,27,Citizen296,10.0,peace, frustration, gratitude
812,54,27,Citizen596,-10.0,happiness, anger, anger
812,54,27,Citizen443,-10.0,harmony, anger, frustration
812,54,27,Citizen444,10.0,shame, peace, kindness
812,54,27,Citizen308,10.0,conflict, peace, contentment
812,54,27,Citizen497,-10.0,hope, anger, disgust
867,96,9,Citizen942,-10.0,contentment, disgust, disgust
867,96,9,Citizen945,10.0,contentment, disgust, disgust
867,96,9,Citizen473,10.0,contentment, disgust, disgust
867,96,9,Citizen290,30.0,contentment, disgust, disgust
867,96,9,Citizen599,-10.0,contentment, disgust, disgust
867,96,9,Citizen809,30.0,contentment, disgust, disgust
867,96,9,Citizen710,10.0,contentment, disgust, disgust
867,96,9,Citizen908,10.0,contentment, disgust, disgust
867,96,9,Citizen769,30.0,contentment, disgust, disgust
36,71,57,Citizen681,10.0,hope, shame, gratitude
36,71,57,Citizen644,10.0,hope, conflict, contentment
36,71,57,Citizen601,10.0,guilt, gratitude, gratitude
36,71,57,Citizen485,-10.0,gratitude, stress, envy
36,71,57,Citizen445,10.0,love, kindness, shame
36,71,57,Citizen578,10.0,sadness, love, happiness
36,71,57,Citizen835,10.0,contentment, sadness, harmony
36,71,57,Citizen71,-10.0,fear, happiness, sadness
36,71,57,Citizen175,-10.0,fear, guilt, serenity
36,71,57,Citizen990,10.0,happiness, love, envy
36,71,57,Citizen537,-30.0,shame, conflict, frustration
36,71,57,Citizen200,-10.0,happiness, conflict, fear
36,71,57,Citizen283,10.0,peace, shame, joy
526,70,40,Citizen253,10.0,joy, guilt, love
526,70,40,Citizen188,10.0,love, hope, shame
526,70,40,Citizen583,30.0,gratitude, hope, gratitude
526,70,40,Citizen592,30.0,contentment, peace, love
526,70,40,Citizen914,-30.0,stress, anger, fear
526,70,40,Citizen542,30.0,hope, happiness, serenity
526,70,40,Citizen725,10.0,contentment, love, sadness
526,70,40,Citizen37,10.0,frustration, hope, gratitude
526,70,40,Citizen446,10.0,joy, happiness, disgust
526,70,40,Citizen269,-10.0,guilt, serenity, sadness
526,70,40,Citizen383,10.0,peace, fear, love
526,73,36,Citizen679,-10.0,fear, conflict, harmony
526,73,36,Citizen608,-30.0,frustration, anger, anger
526,73,36,Citizen317,-10.0,frustration, gratitude, disgust
526,73,36,Citizen253,10.0,joy, guilt, love
526,73,36,Citizen583,30.0,gratitude, hope, gratitude
526,73,36,Citizen592,30.0,contentment, peace, love
526,73,36,Citizen542,30.0,hope, happiness, serenity
946,78,56,Citizen17,-30.0,disgust, stress, frustration
946,78,56,Citizen528,10.0,harmony, fear, peace
946,78,56,Citizen78,-10.0,sadness, conflict, contentment
946,78,56,Citizen453,10.0,happiness, shame, joy
946,78,56,Citizen835,-10.0,anger, shame, contentment
946,78,56,Citizen681,10.0,hope, shame, gratitude
946,78,56,Citizen644,10.0,hope, conflict, contentment
946,78,56,Citizen601,10.0,guilt, gratitude, gratitude
43,67,11,Citizen404,10.0,stress, contentment, contentment
43,67,11,Citizen334,10.0,stress, peace, kindness
43,67,11,Citizen905,-10.0,anger, kindness, fear
43,67,11,Citizen199,-10.0,serenity, sadness, disgust
43,67,11,Citizen520,10.0,harmony, serenity, conflict
43,67,11,Citizen630,-10.0,love, sadness, fear
43,67,11,Citizen817,30.0,happiness, harmony, happiness
43,67,11,Citizen494,-10.0,kindness, shame, disgust
43,67,11,Citizen817,10.0,harmony, anger, kindness
43,67,11,Citizen760,-10.0,conflict, love, anger
976,24,26,Citizen403,-10.0,shame, harmony, fear
976,24,26,Citizen492,10.0,guilt, happiness, love
976,24,26,Citizen804,30.0,joy, joy, joy
976,24,26,Citizen973,30.0,love, harmony, gratitude
976,24,26,Citizen557,-10.0,joy, disgust, fear
976,24,26,Citizen694,10.0,love, fear, gratitude
976,24,26,Citizen838,-10.0,guilt, envy, love
976,24,26,Citizen224,-10.0,peace, shame, stress
976,24,26,Citizen53,-10.0,love, stress, shame
976,24,26,Citizen645,10.0,serenity, shame, peace
976,24,26,Citizen632,-10.0,guilt, anger, peace
976,24,26,Citizen510,10.0,serenity, joy, fear
